world_name	gc_name	gc_level	gc_exp	ranking	guild_name	grade	class_name
戴摩爾克04	君子不器	84	213009567072710	1	春風如酒	20	執行官
戴摩爾克04	微微	83	140143239568626	2		19	咒文刻印使
戴摩爾克04	財神小米粥	83	132941699884713	3		19	咒文刻印使
戴摩爾克04	我為逝者哀哭	82	90685043211249	4		18	太陽監視者
戴摩爾克04	桌子下有人	82	85083734924007	5	春滿盛	18	執行官
戴摩爾克04	曬個月亮	82	84347173218272	6	凌霄軍隊	18	執行官
戴摩爾克04	焗烤馬鈴薯	82	80766520220466	7	送頭	17	太陽監視者
戴摩爾克04	小喵	82	75628449389659	8	jfgbtu	18	執行官
戴摩爾克04	皇家禮炮	81	62666523493657	9	春滿盛	17	太陽監視者
戴摩爾克04	大藍貓	81	60281982268715	10	小藍貓	16	咒文刻印使
戴摩爾克04	富林太空站	81	54636248020049	11		18	太陽監視者
戴摩爾克04	依然	81	51608233982423	12	春風如酒	16	咒文刻印使
戴摩爾克04	三天三夜	81	51070044520670	13		17	太陽監視者
戴摩爾克04	ddstt	81	48145894853802	14	ddsd	16	咒文刻印使
戴摩爾克04	許光漢	80	42218093395103	15		18	執行官
戴摩爾克04	守護者八加九	80	42109531997200	16	小藍貓	17	執行官
戴摩爾克04	白鷺鷥	80	40833011746126	17		17	執行官
戴摩爾克04	我知道	80	39921263800089	18	春滿盛	16	香射手
戴摩爾克04	話題	80	39757885335440	19	春滿盛	16	香射手
戴摩爾克04	太多太多的抱歉	80	39706776292490	20	春滿盛	16	香射手
戴摩爾克04	愛不在	80	39637969406550	21	春滿盛	16	香射手
戴摩爾克04	心如止水	80	39383286291154	22	春滿盛	16	香射手
戴摩爾克04	告白氣球	80	39246826089338	23	春滿盛	16	香射手
戴摩爾克04	我沒對她說	80	39227898346429	24	春滿盛	16	香射手
戴摩爾克04	信徒	80	39053424335747	25	春滿盛	16	香射手
戴摩爾克04	CROSS	80	36442186719420	26	春滿盛	17	深淵放逐者
戴摩爾克04	芷怡	80	33011042000415	27	jfgbtu	16	執行官
戴摩爾克04	子兮子兮	80	30992733502889	28	凌霄軍隊11	16	執行官
戴摩爾克04	哎呦喂呀	80	30325821617397	29	春風如酒	16	太陽監視者
戴摩爾克04	白輕雪	80	29303158715549	30		16	太陽監視者
戴摩爾克04	娘娘	80	28900215966233	31	jfgbtu	15	幻影劍士
戴摩爾克04	酒酒	80	28384645464125	32	酒酒	17	執行官
戴摩爾克04	阿瑞斯	79	26962374996746	33	春風如酒	17	香射手
戴摩爾克04	老蕭	79	26204172488640	34	ADAD	17	咒文刻印使
戴摩爾克04	涼玖OuO	79	26071398164041	35		16	咒文刻印使
戴摩爾克04	又見一夜襲	79	25379245826119	36		16	香射手
戴摩爾克04	韭嫵弍栖	79	24648297192934	37	春滿盛	16	幻影劍士
戴摩爾克04	哈德利	79	23990356131611	38		16	太陽監視者
戴摩爾克04	海棠	79	23022976396092	39	春滿盛	17	太陽監視者
戴摩爾克04	熊本真希	79	22901659192385	40		15	太陽監視者
戴摩爾克04	肥美老雞包	79	21716971657536	41	遙遠的夢想	16	幻影劍士
戴摩爾克04	晴時多雲	79	20149042945589	42	小藍貓	15	咒文刻印使
戴摩爾克04	特務J	79	19804021828794	43		15	幻影劍士
戴摩爾克04	我獨自尻噏	79	19791603999187	44		15	太陽監視者
戴摩爾克04	守護者加九妹	79	19454003187743	45	小藍貓	16	咒文刻印使
戴摩爾克04	管妳媽媽嫁給誰	79	19089163255033	46		17	野蠻鬥士
戴摩爾克04	少女	79	18539920868284	47	jfgbtu	15	幻影劍士
戴摩爾克04	守護者阿志	78	17143514782363	48	小藍貓	16	香射手
戴摩爾克04	金色	78	16259744888021	49		16	幻影劍士
戴摩爾克04	風向鈴蘭	78	16020405045397	50	醉楓染	16	香射手
戴摩爾克04	艾涅爾	78	15932224856301	51		15	執行官
戴摩爾克04	瞬光鈴芽	78	15482658887913	52		16	咒文刻印使
戴摩爾克04	特洛伊	78	14393708164346	53		16	太陽監視者
戴摩爾克04	hjftyhdf	78	13870682012754	54	jfgbtu	15	幻影劍士
戴摩爾克04	hfhbip	78	13800135009397	55	jfgbtu	15	幻影劍士
戴摩爾克04	豬神未食飽	78	13340110417304	56	龍虎豹出版社	17	執行官
戴摩爾克04	jghjyftgu	78	12747429637407	57	jfgbtu	14	香射手
戴摩爾克04	土匪大王	77	11888760299469	58		14	執行官
戴摩爾克04	ghdthyty	77	11755606825806	59	jfgbtu	13	幻影劍士
戴摩爾克04	羅傑房裡的女人蔡英文	77	11242478259898	60		14	太陽監視者
戴摩爾克04	映像電話蟲	77	10906148563761	61		13	香射手
戴摩爾克04	榮耀執行官	77	10869265850437	62	休閑	14	執行官
戴摩爾克04	羅天大教	77	9660082025281	63	春滿盛	15	執行官
戴摩爾克04	幕後黑手	77	9394304990429	64	幕後黑手	15	咒文刻印使
戴摩爾克04	嘰嘰嘰嘰嘰嘰嘰	77	9018136611792	65	urgf	13	太陽監視者
戴摩爾克04	kjrh	77	8991878055443	66	jfgbtu	14	咒文刻印使
戴摩爾克04	Dayb	77	8710017285714	67		15	咒文刻印使
戴摩爾克04	春滿盛	77	8705226737451	68	春滿盛	14	香射手
戴摩爾克04	黑色	77	8563655146250	69		14	太陽監視者
戴摩爾克04	jfgggg	77	8417497262819	70	jfgbtu	12	執行官
戴摩爾克04	星象儀	77	8298884863878	71	酒酒	15	咒文刻印使
戴摩爾克04	東踏取	76	8081203647348	72		15	執行官
戴摩爾克04	二哈	76	8038740301887	73	小藍貓	12	執行官
戴摩爾克04	孤娥	76	8008311480258	74		15	咒文刻印使
戴摩爾克04	大摳呆	76	7552404078028	75	1722	12	太陽監視者
戴摩爾克04	菲傭	76	6969976323280	76	春滿盛	1	深淵放逐者
戴摩爾克04	銀星玥	76	6899589802366	77	温野菜	14	執行官
戴摩爾克04	懈怠TUG	76	6845467743958	78	ADAD	14	執行官
戴摩爾克04	沒電的艾尼路	76	6500452005260	79		13	咒文刻印使
戴摩爾克04	陌生的旅途	76	6284224779217	80	休閑	14	咒文刻印使
戴摩爾克04	MrMr	76	6275113234517	81	休閑	14	咒文刻印使
戴摩爾克04	jgyugg	76	6242694919042	82	jfgbtu	11	咒文刻印使
戴摩爾克04	長髮飄飄	76	6126326600873	83	休閑	14	咒文刻印使
戴摩爾克04	茉莉兒	76	5905949543899	84		15	咒文刻印使
戴摩爾克04	白石麻衣	76	5835904681665	85	龍虎豹出版社	13	幻影劍士
戴摩爾克04	艾艾莎	75	5527808034221	86	小藍貓	10	咒文刻印使
戴摩爾克04	大輝哥	75	5470675503325	87	春滿盛	13	太陽監視者
戴摩爾克04	AQUAMARINE	75	5462758888334	88	ADAD	13	幻影劍士
戴摩爾克04	綠箭俠	75	5328118580020	89	酒酒	15	香射手
戴摩爾克04	一起再看流星雨	75	5301453572006	90	ADAD	14	太陽監視者
戴摩爾克04	美方	75	5292202908137	91	休閑	13	咒文刻印使
戴摩爾克04	kitty	75	5269245428458	92	休閑	13	執行官
戴摩爾克04	鑫爺	75	5160247998660	93	酒酒	15	咒文刻印使
戴摩爾克04	湯湯水水	75	5151197935798	94	休閑	13	咒文刻印使
戴摩爾克04	速懶趴	75	5128376145642	95		13	香射手
戴摩爾克04	jggydyu	75	5017100846336	96	jfgbtu	11	深淵放逐者
戴摩爾克04	蒂亞Tia	75	4942483108130	97	ADAD	13	深淵放逐者
戴摩爾克04	愛麗絲	75	4844908913297	98	愛麗絲	13	太陽監視者
戴摩爾克04	Aiueoaiueo	75	4780421479259	99		15	咒文刻印使
戴摩爾克04	aDADA	75	4727686432688	100	ADAD	13	野蠻鬥士
萊涅01	Divergent	91	5963532772428811	1	神鬼	25	野蠻鬥士
萊涅01	蒼龍爆刃	91	5548677704186686	2	神鬼	25	野蠻鬥士
萊涅01	一謙謙一	91	5210807706254867	3	神鬼	25	咒文刻印使
萊涅01	黃金神杖	91	4952927357396632	4	神鬼	24	野蠻鬥士
萊涅01	䨻靐Myth	91	3786030818297587	5	神鬼	25	咒文刻印使
萊涅01	星雨乾坤	90	3381928878717690	6	神鬼	25	太陽監視者
萊涅01	吃燒烤睡覺起來贏五百	90	3097481009059510	7	神鬼	25	野蠻鬥士
萊涅01	爹爹a	90	2862439514202129	8	神鬼	24	香射手
萊涅01	歐北賽	90	2813289230443568	9	神鬼	24	執行官
萊涅01	搶錢搶糧搶女人	89	1602373878896432	10	神鬼	23	太陽監視者
萊涅01	卡拉豬排堡	89	1569296535536432	11	神鬼	23	咒文刻印使
萊涅01	芊奈貓	89	1523078926064670	12	神鬼	24	咒文刻印使
萊涅01	大雄與技安	88	1334346945774384	13	神鬼	24	幻影劍士
萊涅01	花雨煙雲	88	1283964782381326	14	神鬼	24	執行官
萊涅01	AY	88	1247754660332860	15	神鬼	22	香射手
萊涅01	瑪莉安o	88	1030322569320623	16	神鬼	24	幻影劍士
萊涅01	馬克白蘭地	88	993074033092791	17	神鬼	22	咒文刻印使
萊涅01	紅豆	87	893380983495966	18	神鬼	23	咒文刻印使
萊涅01	高雄漁屋熱炒師傅	87	889697118279226	19	喵嗚	22	太陽監視者
萊涅01	單手拆彈專家	87	862595516055453	20	神鬼	22	執行官
萊涅01	影遁	87	844037065038789	21	喵嗚	21	太陽監視者
萊涅01	小黃貓	87	808682636624189	22	神鬼	23	野蠻鬥士
